,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,127.50362396240234,159.3314971923828,86.30650329589844,212.8766326904297,243.2566680908203,129.41000366210938,159.3314971923828,86.30650329589844,217.69000244140625,243.2566680908203,133.61000061035156,163.60000610351562,88.12449645996094,223.0,248.163330078125,126.76000213623047,157.2010040283203,85.35700225830078,214.80999755859375,239.06333923339844,133.52000427246094,163.5,88.0,222.52999877929688,239.82000732421875,143301900,88228000,37324000,37130100,145914600
2021-01-05,129.080078125,160.92550659179688,87.00250244140625,213.08197021484375,245.0366668701172,131.00999450683594,160.92550659179688,87.00250244140625,217.89999389648438,245.0366668701172,131.74000549316406,161.16900634765625,87.34149932861328,218.52000427246094,246.94667053222656,128.42999267578125,158.2530059814453,85.84500122070312,215.6999969482422,239.73333740234375,128.88999938964844,158.30050659179688,86.25450134277344,217.25999450683594,241.22000122070312,97664900,53110000,20360000,23823000,96735600
2021-01-06,124.73503875732422,156.91900634765625,86.14399719238281,207.5569305419922,251.9933319091797,126.5999984741211,156.91900634765625,86.14399719238281,212.25,251.9933319091797,131.0500030517578,159.87550354003906,87.19850158691406,216.49000549316406,258.0,126.37999725341797,156.55799865722656,84.80500030517578,211.94000244140625,249.6999969482422,127.72000122070312,157.32400512695312,85.01300048828125,212.1699981689453,252.8300018310547,155088000,87896000,46588000,35930700,134100000
2021-01-07,128.9913787841797,158.10800170898438,88.71700286865234,213.46337890625,272.0133361816406,130.9199981689453,158.10800170898438,88.71700286865234,218.2899932861328,272.0133361816406,131.6300048828125,160.427001953125,88.89099884033203,219.33999633789062,272.3299865722656,127.86000061035156,157.75,86.33799743652344,213.7100067138672,258.3999938964844,128.36000061035156,157.85000610351562,86.33799743652344,214.0399932861328,259.2099914550781,109578200,70290000,41936000,27694500,154496700
2021-01-08,130.104736328125,159.13499450683594,89.8915023803711,214.7639617919922,293.3399963378906,132.0500030517578,159.13499450683594,89.8915023803711,219.6199951171875,293.3399963378906,132.6300048828125,159.53199768066406,89.96800231933594,220.5800018310547,294.8299865722656,130.22999572753906,157.11000061035156,88.06099700927734,217.02999877929688,279.46331787109375,132.42999267578125,159.0,88.85800170898438,218.67999267578125,285.3333435058594,105158200,70754000,35484000,22956200,225166500
2021-01-11,127.07994842529297,155.7104949951172,87.81449890136719,212.68106079101562,270.39666748046875,128.97999572753906,155.7104949951172,87.81449890136719,217.49000549316406,270.39666748046875,130.1699981689453,157.81900024414062,89.21900177001953,218.91000366210938,284.80999755859375,128.5,155.5,87.60700225830078,216.72999572753906,267.8733215332031,129.19000244140625,157.40049743652344,88.85099792480469,218.47000122070312,283.1333312988281,100384500,73668000,34796000,23031300,177904800
2021-01-12,126.90261840820312,156.04150390625,86.87149810791016,210.17767333984375,283.14666748046875,128.8000030517578,156.04150390625,86.87149810791016,214.92999267578125,283.14666748046875,129.69000244140625,157.10699462890625,88.3949966430664,217.10000610351562,289.3333435058594,126.86000061035156,154.3000030517578,85.81900024414062,213.32000732421875,275.7799987792969,128.5,156.0,87.26799774169922,216.5,277.0,91951100,70292000,29528000,23249300,138812100
2021-01-13,128.9618377685547,158.29449462890625,87.36250305175781,211.5564727783203,284.8033447265625,130.88999938964844,158.29449462890625,87.36250305175781,216.33999633789062,284.8033447265625,131.4499969482422,159.49749755859375,87.81950378417969,216.75999450683594,286.8233337402344,128.49000549316406,156.10400390625,86.36599731445312,213.92999267578125,277.3333435058594,128.75999450683594,156.4219970703125,86.36599731445312,214.02000427246094,284.2533264160156,88636800,66424000,23432000,20087100,99937500
